,losses,train_accuracies,validation_accuracies
0,4580.7626953125,0.5,0.38499999046325684
1,1966.6982421875,0.625,0.4830000102519989
2,875.7073364257812,0.75,0.5519999861717224
3,2019.389892578125,0.7265625,0.5820000171661377
4,1355.614013671875,0.7421875,0.628000020980835
5,676.7643432617188,0.796875,0.6119999885559082
6,2366.818359375,0.6015625,0.5730000138282776
7,850.9444580078125,0.828125,0.6660000085830688
8,589.98291015625,0.8515625,0.6579999923706055
9,849.087646484375,0.8125,0.6430000066757202
10,1398.662841796875,0.765625,0.6309999823570251
11,411.04443359375,0.875,0.699999988079071
12,1315.90771484375,0.75,0.6399999856948853
13,1222.5526123046875,0.71875,0.6980000138282776
14,449.65533447265625,0.859375,0.6600000262260437
15,1547.09228515625,0.7578125,0.6589999794960022
16,460.6271057128906,0.8671875,0.6980000138282776
17,548.3367919921875,0.8515625,0.6819999814033508
18,1310.2833251953125,0.7890625,0.6309999823570251
19,286.738525390625,0.8984375,0.7099999785423279
20,285.9803466796875,0.8828125,0.7250000238418579
21,716.9171752929688,0.8203125,0.6959999799728394
22,393.80853271484375,0.8125,0.7419999837875366
23,362.9652099609375,0.859375,0.6909999847412109
24,777.9580688476562,0.8046875,0.7110000252723694
25,349.469482421875,0.8984375,0.7319999933242798
26,222.787841796875,0.8828125,0.718999981880188
27,671.54345703125,0.796875,0.7160000205039978
28,87.39724731445312,0.953125,0.7519999742507935
29,209.0003662109375,0.9296875,0.75
30,481.8817138671875,0.8359375,0.7310000061988831
31,416.6539306640625,0.8359375,0.7419999837875366
32,314.22515869140625,0.859375,0.7160000205039978
33,844.080322265625,0.8515625,0.734000027179718
34,278.3341369628906,0.921875,0.7440000176429749
35,309.756103515625,0.8828125,0.7300000190734863
36,1331.923583984375,0.7734375,0.6430000066757202
37,429.6346435546875,0.8828125,0.7409999966621399
38,90.9649887084961,0.9375,0.753000020980835
39,379.2350769042969,0.90625,0.7710000276565552
40,541.4715576171875,0.859375,0.7129999995231628
41,259.2879638671875,0.90625,0.7570000290870667
42,663.2572021484375,0.8671875,0.7670000195503235
43,400.9998779296875,0.8515625,0.7110000252723694
44,261.987548828125,0.8984375,0.7450000047683716
45,481.4649658203125,0.8359375,0.7630000114440918
46,113.44952392578125,0.9296875,0.7459999918937683
47,104.08264923095703,0.9453125,0.7570000290870667
48,429.66009521484375,0.875,0.7379999756813049
49,313.0919189453125,0.859375,0.7490000128746033
50,178.11996459960938,0.921875,0.7599999904632568
51,528.0203857421875,0.9140625,0.7450000047683716
52,278.3628845214844,0.8828125,0.753000020980835
53,95.08712768554688,0.921875,0.7599999904632568
54,665.26025390625,0.8359375,0.7139999866485596
55,126.99331665039062,0.921875,0.7599999904632568
56,94.72262573242188,0.9296875,0.7630000114440918
57,293.8458251953125,0.8984375,0.7559999823570251
58,275.7236328125,0.90625,0.7699999809265137
59,325.9661865234375,0.8828125,0.7400000095367432
60,304.8541259765625,0.921875,0.777999997138977
61,174.6302490234375,0.90625,0.7519999742507935
62,123.5483627319336,0.921875,0.7710000276565552
63,430.54888916015625,0.890625,0.7639999985694885
64,116.61127471923828,0.9375,0.7549999952316284
65,68.91669464111328,0.9609375,0.7630000114440918
66,374.1761169433594,0.8671875,0.7419999837875366
67,128.28543090820312,0.921875,0.7990000247955322
68,107.04138946533203,0.9453125,0.7829999923706055
69,533.0672607421875,0.890625,0.7639999985694885
70,149.97898864746094,0.921875,0.7870000004768372
71,49.189666748046875,0.9609375,0.7710000276565552
72,357.10968017578125,0.8828125,0.7730000019073486
73,24.5360107421875,0.9609375,0.7829999923706055
74,24.860950469970703,0.96875,0.7760000228881836
75,157.61082458496094,0.9296875,0.7889999747276306
76,178.19606018066406,0.9140625,0.7910000085830688
77,285.4854431152344,0.9140625,0.7549999952316284
78,328.67779541015625,0.90625,0.7580000162124634
79,198.0732421875,0.90625,0.7720000147819519
80,46.305198669433594,0.9609375,0.8149999976158142
81,274.1318054199219,0.890625,0.7739999890327454
82,82.66142272949219,0.9765625,0.7950000166893005
83,69.52766418457031,0.9609375,0.7919999957084656
84,327.96539306640625,0.921875,0.7680000066757202
85,115.61742401123047,0.9375,0.796999990940094
86,254.24745178222656,0.9375,0.7480000257492065
87,462.607666015625,0.875,0.7770000100135803
88,85.50039672851562,0.9453125,0.7839999794960022
89,12.923439025878906,0.984375,0.7929999828338623
